loc,PM2.5,year,month,day,hour,PM10,AT,BP,SR,RH,WS,WD,NO,NO2,SO2,Ozone,CO,Benzene,NH3,NOx
AshokVihar,77,2018,6,1,0,274,34.51,975.17,2,62.17,7.42,129,3.21,23.36,10.93,98.13,0.53,5.14,43,26.55
AshokVihar,75,2018,6,1,1,237,34.05,976.08,2,62.33,7.43,129,2.93,21.71,9.48,97.8,0.51,3.94,47.82,24.64
AshokVihar,81,2018,6,1,2,219,33.12,991.25,2,65,7.43,129,2.27,11.9,1.68,46.27,0.12,4.55,10.64,15.24
AshokVihar,70,2018,6,1,3,217,32.54,998.5,2,66.92,7.42,129,1.72,10.7,2.97,35.88,0.3,4.2,13.44,42.32
AshokVihar,74,2018,6,1,4,226,31.93,997.9,2.08,69.83,7.41,129,1.83,32.49,2.73,26.55,0.39,3.32,8.48,44.78
AshokVihar,77,2018,6,1,5,208,30.97,997.3,8.58,73.5,7.43,129,2.07,10.1,2.43,19.9,0.6,4.44,3.27,51.34
AshokVihar,70,2018,6,1,6,274,30.37,996.7,75.08,72.75,7.41,129,1.86,10.133333,2.16,22.99,0.49,4.84,2.67,49
AshokVihar,55,2018,6,1,7,276,30.87,996.1,220.92,69.75,7.43,129,1.87,10.166667,2.03,29.87,0.41,3.89,2.78,53.67
AshokVihar,51,2018,6,1,8,228,32.52,995.5,395.25,67,7.41,129,2.16,10.2,1.88,34.92,0.4,2.68,1.98,53.25
AshokVihar,55,2018,6,1,9,208,34.19,990.17,554.75,64.67,7.41,129,2.38,10.98,2.58,44.63,0.42,3.87,20.68,43.88
AshokVihar,67,2018,6,1,10,251,35.52,977.75,696.83,62.75,7.42,129,2.81,45.32,2.52,58.11,0.32,5.57,4.53,69.43
AshokVihar,63,2018,6,1,11,263,36.83,966.5,782.5,60.75,7.43,129,2.24,10,2.24,81.4,0.42,9.02,4.62,77.24
AshokVihar,68,2018,6,1,12,259,38.2,955.25,801.58,58.92,7.46,129,2,11.4,2.91,95.77,0.38,8.93,9.65,68.92
AshokVihar,61,2018,6,1,13,255,39.76,944.83,761.25,57,7.43,129,2.01,22.775,2.59,113.2,0.38,8.86,4.02,62.74
AshokVihar,59,2018,6,1,14,239,40.8,938.25,663.17,55.92,7.43,129,1.67,34.15,1.82,115.66,0.33,5.29,4.83,53.02
AshokVihar,59,2018,6,1,15,243,40.7,938.05,512.15,55.98,7.41,129,1.33,45.525,1.71,123.22,0.35,5.01,5.68,53.38
AshokVihar,56,2018,6,1,16,257,40.48,937.08,342.42,55.92,7.43,129,1.28,56.9,3.57,109.93,0.33,8.52,5.54,48.02
AshokVihar,59,2018,6,1,17,274,39.51,942.67,133.08,56.67,7.46,129,1.43,10.39,2.54,105.11,0.56,14.39,13.19,45.27
AshokVihar,63,2018,6,1,18,311,38.33,948.58,44.83,57.75,7.42,129,1.87,12.71,4.73,88.28,0.63,3.28,57.47,14.57
AshokVihar,64,2018,6,1,19,328,37.08,966.75,4.42,60.75,7.42,129,1.8,12.64,6.57,69.73,0.65,3.79,56.98,14.42
AshokVihar,66,2018,6,1,20,373,30.56,988.33,2,68.08,7.41,129,1.48,13.32,5.18,66.1,0.34,6.8,19.96,43.33
AshokVihar,327.25,2018,6,1,21,373,26.81,987.6,2,72.33,7.4,129,1.32,12.975,1.13,76.92,0.2,2.51,1.89,49.54
AshokVihar,351,2018,6,1,22,288.5,28.64,986.87,2,64.33,7.4,129,2.68,12.63,2.5,69.49,0.18,3.27,5.14,39.87
AshokVihar,66.83,2018,6,1,23,204,28.94,985.08,2,64,7.4,129,1.53,18.39,4.11,50.46,0.31,1.45,39.02,19.92
AshokVihar,51.08,2018,6,2,0,150,28.09,998.12,2,66.33,7.41,129,2.25,18.98,4.69,41.81,0.31,2.76,39.73,21.26
AshokVihar,52.92,2018,6,2,1,113.75,28.21,994,2,65.33,7.41,129,1.91,12.51,6.14,39.82,0.3,2.66,35.68,19.27
AshokVihar,39.25,2018,6,2,2,100,28.21,990.83,2,65,7.43,129,2.95,24.98,2.13,27.78,0.09,3.05,15.5,12.84
AshokVihar,38,2018,6,2,3,85.25,27.87,991.58,2,65,7.4,129,2.34,17.19,1.51,42.94,0.13,3.07,21.78,32.31
AshokVihar,36.17,2018,6,2,4,74.83,27.73,990.5,2,65,7.4,129,3.32,14.67,11.38,38.83,0.13,1.73,26.99,23.7
AshokVihar,37.83,2018,6,2,5,78.58,27.59,992.92,8.42,65.33,7.4,129,1.33,12.38,5.06,45.33,0.22,1.79,22.13,20.9
AshokVihar,36.17,2018,6,2,6,89.08,28.13,992.58,80.08,65.25,7.41,129,1.98,13.38,6.31,38.7,0.32,2.03,34.61,15.35
AshokVihar,46.08,2018,6,2,7,123.92,29.28,984.92,215.33,63.83,7.43,129,3.83,17.39,9.8,37.21,0.45,2.47,31.06,21.22
AshokVihar,42.42,2018,6,2,8,123.33,30.9,972.92,380.42,62,7.43,129,3.82,14.71,9.19,45.21,0.38,2.72,33.35,18.51
